PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010400007,-4.07750000000,13.67388900000,Nzasi,Bouenza,Congo
CG010400008,-4.05139100000,13.75500300000,Nganda,Bouenza,Congo
CG010400009,-4.05582900000,13.71860800000,Kiele,Bouenza,Congo
CG010400010,-4.03499800000,13.77611300000,Nzou-Tari,Bouenza,Congo
CG010400011,-4.04916300000,13.69611000000,Kimvembe,Bouenza,Congo
CG010400012,-4.02332900000,13.72277500000,Kimboukou,Bouenza,Congo
CG010400013,-4.07527500000,13.51888800000,Tseke-Mpembe,Bouenza,Congo
CG010400014,-4.00000200000,13.76944600000,Ngiri,Bouenza,Congo
CG010400015,-4.00000200000,13.76944600000,Nguiri,Bouenza,Congo
CG010400016,-4.03749900000,13.63722600000,Mandou,Bouenza,Congo
CG010400017,-4.00250000000,13.70556000000,Kimboukou,Bouenza,Congo
CG010400018,-4.01360700000,13.65583700000,Kikanga,Bouenza,Congo
CG010400019,-3.97333200000,13.76528000000,Mayombo,Bouenza,Congo
CG010400020,-4.00611300000,13.63056000000,Seke-Pembe,Bouenza,Congo
CG010400021,-4.00611300000,13.63056000000,Tseke-Mpembe,Bouenza,Congo
CG010400022,-4.03638800000,13.52444300000,Moukasa,Bouenza,Congo
CG010400023,-3.95944500000,13.78138500000,Moudzanga,Bouenza,Congo
CG010400024,-3.95944500000,13.78138500000,Moudzanga II,Bouenza,Congo
CG010400025,-3.95416600000,13.75916600000,Nzaki,Bouenza,Congo
CG010400026,-3.94805900000,13.72806000000,Kiloungou,Bouenza,Congo
CG010400027,-3.93916900000,13.71722200000,Mousanda,Bouenza,Congo
CG010400028,-3.93916900000,13.71722200000,Moussanda,Bouenza,Congo
CG010400029,-3.97611200000,13.57694500000,Mabombo,Bouenza,Congo
CG010400030,-3.97611200000,13.57694500000,Mabombo IV,Bouenza,Congo
CG010400031,-3.91417000000,13.74694200000,Mousanda,Bouenza,Congo
CG010400032,-3.92389300000,13.64278000000,Louboulou,Bouenza,Congo
CG010400033,-3.95111100000,13.54388500000,Bouanza,Bouenza,Congo
CG010400034,-3.90527800000,13.64166600000,Bambouyi,Bouenza,Congo
CG010400035,-3.90388700000,13.62638700000,Kinfikou,Bouenza,Congo
CG010400036,-3.89083200000,13.62360800000,Kiniangi,Bouenza,Congo
CG010400037,-3.88944700000,13.59556000000,Louboulou,Bouenza,Congo
CG010500001,-4.26889200000,13.84389200000,Kinkoumba-Tanga,Bouenza,Congo
CG010500002,-4.26666400000,13.83555300000,Kingouala-Nsouadi,Bouenza,Congo
CG010500003,-4.26055200000,13.83749900000,Kimpombo,Bouenza,Congo
CG010500004,-4.25916900000,13.83194200000,Mousasi,Bouenza,Congo
CG010500005,-4.26305600000,13.78944700000,Kimbenza-Ndiba,Bouenza,Congo
CG010500006,-4.23805600000,13.83055900000,Moupepe,Bouenza,Congo
CG010500007,-4.31028100000,13.58666300000,Kintamba,Bouenza,Congo
CG010500008,-4.30583400000,13.58777900000,Kintsimba,Bouenza,Congo
CG010500009,-4.29500300000,13.57555600000,Kintsimba,Bouenza,Congo
CG010500010,-4.22944300000,13.78222000000,Mbaamba,Bouenza,Congo
