PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010400036,-3.890832,13.623608,Nkoyi,Bouenza,Congo
CG010400037,-3.889447,13.59556,Kingoma,Bouenza,Congo
CG010500001,-4.268892,13.843892,Kingembo,Bouenza,Congo
CG010500002,-4.266664,13.835553,Kisende,Bouenza,Congo
CG010500003,-4.260552,13.837499,Kiniadi,Bouenza,Congo
CG010500004,-4.259169,13.831942,Madingo,Bouenza,Congo
CG010500005,-4.263056,13.789447,Madingou,Bouenza,Congo
CG010500006,-4.238056,13.830559,Soukou-Madingou,Bouenza,Congo
CG010500007,-4.310281,13.586663,Mbouki,Bouenza,Congo
CG010500008,-4.305834,13.587779,Mpasa,Bouenza,Congo
CG010500009,-4.295003,13.575556,Kikiemou,Bouenza,Congo
CG010500010,-4.229443,13.78222,Kanana,Bouenza,Congo
CG010500011,-4.263333,13.651668,Kinganga,Bouenza,Congo
CG010500012,-4.225003,13.754164,Kindamba,Bouenza,Congo
CG010500013,-4.218611,13.761669,Louanga,Bouenza,Congo
CG010500014,-4.218611,13.761669,Bisinza,Bouenza,Congo
CG010500015,-4.218611,13.761669,Bikoumbi,Bouenza,Congo
CG010500016,-4.218611,13.761669,Londa-Mataba,Bouenza,Congo
CG010500017,-4.218611,13.761669,Bikoka,Bouenza,Congo
CG010500018,-4.218611,13.761669,Kilemba,Bouenza,Congo
CG010500019,-4.201108,13.795002,Kingouala-Mboungou,Bouenza,Congo
CG010500020,-4.272218,13.549725,Bisai,Bouenza,Congo
CG010500021,-4.272218,13.549725,Kimoanda,Bouenza,Congo
CG010500022,-4.288888,13.494722,Kinsoundi,Bouenza,Congo
CG010500023,-4.295552,13.471385,Kimbobe,Bouenza,Congo
CG010500024,-4.194164,13.785004,Mfouati,Bouenza,Congo
CG010500025,-4.266666,13.549997,Mbanza,Bouenza,Congo
CG010500026,-4.265002,13.545279,Kimponzi,Bouenza,Congo
CG010500027,-4.233885,13.626386,Kimbenza-Panzou,Bouenza,Congo
CG010500028,-4.217776,13.667223,Moukanda,Bouenza,Congo
CG010500029,-4.21806,13.627504,Mpanga,Bouenza,Congo
CG010500030,-4.183059,13.734997,Bizoua,Bouenza,Congo
CG010500031,-4.169998,13.718056,Mayanga,Bouenza,Congo
CG010500032,-4.214445,13.559444,Hapilo,Bouenza,Congo
CG010500033,-4.200834,13.564171,Kinsimba,Bouenza,Congo
CG010500034,-4.169726,13.658333,Kindala,Bouenza,Congo
CG010500035,-4.175003,13.634444,Kinkoumba-Nkamba,Bouenza,Congo
CG010500036,-4.17361,13.61861,Kingouala-Mbouese,Bouenza,Congo
CG010500037,-4.20194,13.5125,Kinkoumba,Bouenza,Congo
CG010500038,-4.177775,13.565835,Ngoloubondo,Bouenza,Congo
CG010500039,-4.200834,13.473886,Mamouanda,Bouenza,Congo
CG010500040,-4.176393,13.508612,Nzombo,Bouenza,Congo
CG010500041,-4.167503,13.532778,Moukambou,Bouenza,Congo
CG010500042,-4.153607,13.549999,Loutete,Bouenza,Congo
CG010500043,-4.153607,13.549999,Kimbenza-Mouniere,Bouenza,Congo
CG010500044,-4.174721,13.476666,Bibondo,Bouenza,Congo
CG010500045,-4.169443,13.492223,Kamba-Ntete,Bouenza,Congo
CG010500046,-4.177497,13.444163,Kinsaba,Bouenza,Congo
CG010500047,-4.139165,13.555276,Kinzaba,Bouenza,Congo
CG010500048,-4.140834,13.528612,Ngouedi,Bouenza,Congo
CG010500049,-4.115552,13.536107,Ngoueri,Bouenza,Congo
CG010500050,-4.106388,13.524721,Kinnzoumba,Bouenza,Congo
CG010600051,-4.468613,13.860556,Mitoto,Bouenza,Congo
CG010600052,-4.462218,13.848886,Bousoumouna,Bouenza,Congo
CG010600053,-4.447777,13.851387,Kinntouari,Bouenza,Congo
CG010600054,-4.439447,13.84,Pandi Mamba,Bouenza,Congo
CG010600055,-4.421941,13.890276,Mayalama,Bouenza,Congo
CG010600056,-4.398331,13.945002,Makala,Bouenza,Congo
